old_path,new_path,status,rule,notes
/,/,SAME,exact-slug,Exists on new site
/about/,/about/,SAME,exact-slug,Exists on new site
/blog/,/blog/,SAME,exact-slug,Exists on new site
/contact/,/contact/,SAME,exact-slug,Exists on new site
/privacy-policy/,/privacy-policy/,SAME,exact-slug,Exists on new site
/services/,/services/,SAME,exact-slug,Exists on new site
/testimonials/,/testimonials/,SAME,exact-slug,Exists on new site
/work/,/our-work/,ALREADY_COVERED,pattern:work,
/team/,/about/,ALREADY_COVERED,pattern:team,
/guarantees/,/about/,ALREADY_COVERED,pattern:guarantees,
/videos/,/our-work/,REVIEW,semantic,Video showcase page; /our-work/ closest. Confirm or send to /
/custom-home-builders-thank-you/,/thank-you/,REDIRECT,semantic,Old TYP page
/category/blog/,/blog/,ALREADY_COVERED,pattern:archive,
/category/uncategorized/,/blog/,ALREADY_COVERED,pattern:archive,
/tag/blog/,/blog/,ALREADY_COVERED,pattern:archive,
/tag/custom-homes/,/blog/,ALREADY_COVERED,pattern:archive,
/tag/heritage-renovation/,/blog/,ALREADY_COVERED,pattern:archive,
/tag/renovation/,/blog/,ALREADY_COVERED,pattern:archive,
/tag/smart-homes/,/blog/,ALREADY_COVERED,pattern:archive,
/theplus_testimonial/,/testimonials/,ALREADY_COVERED,pattern:testimonial-cpt,
/theplus_testimonial/costas/,/testimonials/,ALREADY_COVERED,pattern:testimonial-cpt,
/theplus_testimonial/tony-4/,/testimonials/,ALREADY_COVERED,pattern:testimonial-cpt,
/theplus_testimonial/tony-and-mary/,/testimonials/,ALREADY_COVERED,pattern:testimonial-cpt,
/theplus_testimonial/vicki/,/testimonials/,ALREADY_COVERED,pattern:testimonial-cpt,
/custom-home-builders-bayside-city/,/home-renovations-melbourne/,ALREADY_COVERED,pattern:custom-home-builders,
/design-build-bayside-city/,/new-builds-melbourne/,ALREADY_COVERED,pattern:design-build,
/heritage-home-builders-bayside-city/,/heritage-renovations-melbourne/,ALREADY_COVERED,pattern:heritage-home-builders,
/custom-home-builders-city-of-boroondara/,/home-renovations-melbourne/,ALREADY_COVERED,pattern:custom-home-builders,
/design-build-city-of-boroondara/,/new-builds-melbourne/,ALREADY_COVERED,pattern:design-build,
/heritage-home-builders-city-of-boroondara/,/heritage-renovations-melbourne/,ALREADY_COVERED,pattern:heritage-home-builders,
/custom-home-builders-city-of-glen-eira/,/home-renovations-melbourne/,ALREADY_COVERED,pattern:custom-home-builders,
/design-build-city-of-glen-eira/,/new-builds-melbourne/,ALREADY_COVERED,pattern:design-build,
/heritage-home-builders-city-of-glen-eira/,/heritage-renovations-melbourne/,ALREADY_COVERED,pattern:heritage-home-builders,
/custom-home-builders-city-of-port-phillip/,/home-renovations-melbourne/,ALREADY_COVERED,pattern:custom-home-builders,
/design-build-city-of-port-phillip/,/new-builds-melbourne/,ALREADY_COVERED,pattern:design-build,
/heritage-home-builders-city-of-port-phillip/,/heritage-renovations-melbourne/,ALREADY_COVERED,pattern:heritage-home-builders,
/custom-home-builders-city-of-stonnington/,/home-renovations-melbourne/,ALREADY_COVERED,pattern:custom-home-builders,
/design-build-city-of-stonnington/,/new-builds-melbourne/,ALREADY_COVERED,pattern:design-build,
/heritage-home-builders-city-of-stonnington/,/heritage-renovations-melbourne/,ALREADY_COVERED,pattern:heritage-home-builders,
/custom-homes-builders-city-of-stonnington/,/home-renovations-melbourne/,REDIRECT,pattern:custom-home-builders,Slug variant (homes vs home) - add explicit rule
